ST_CASE,VEH_NO,PER_NO,AGE,SEX,PER_TYP,INJ_SEV,SEAT_POS,REST_USE,AIR_BAG,DRUGS,LOCATION,NUMOCCS,HIT_RUN,OWNER,V_CONFIG,HAZ_INV,TRAV_SP,DR_HGT,DR_WGT,PREV_SPD,SPEEDREL,VTRAFWAY,VNUM_LAN,VPROFILE,VPAVETYP,VSURCOND,P_CRASH1,P_CRASH2,DR_DRINK,VPICBODYCLASS,DRDISTRACT,DRIVERRF,DAY,MONTH,YEAR,DAY_WEEK,HOUR,RUR_URB,HARM_EV,RELJCT2,TYP_INT,REL_ROAD,LGT_COND,WEATHER,Fatality Rate (%)
10002,1,1,40,2,1,3,11,20,20,9,0,2,0,2,0,1,999,60,180,0,0,1,4,1,2,2,11,15,0,13,96,0,2,1,2020,5,17,2,12,1,1,1,3,2,16.66666667
10007,1,1,28,2,1,0,11,3,20,0,0,1,0,1,0,1,30,61,129,0,0,1,2,1,2,1,1,80,0,13,96,0,7,1,2020,3,19,2,8,3,2,1,3,1,50.0
10012,1,1,48,1,1,0,11,3,20,0,0,1,0,2,1,1,999,72,200,1,0,2,2,1,2,1,1,17,0,74,96,39,11,1,2020,7,21,2,12,2,2,1,3,1,50.0
10013,1,1,18,1,1,2,11,3,20,0,0,1,0,2,0,1,45,68,233,0,0,1,2,1,2,2,1,80,0,13,96,0,13,1,2020,2,22,2,8,1,1,1,2,10,50.0
10015,1,1,999,9,1,0,11,99,99,9,0,1,1,9,0,1,55,999,999,99,9,1,2,1,2,1,14,83,0,60,96,999,13,1,2020,2,17,2,9,1,1,1,3,10,50.0
10017,1,1,33,2,1,0,11,3,20,0,0,1,0,1,0,1,999,66,130,0,0,1,7,1,2,1,1,80,0,1,96,0,13,1,2020,2,21,2,8,3,4,1,3,1,33.33333333
10019,1,1,72,1,1,4,11,3,1,9,0,1,0,1,0,1,30,65,170,0,0,1,2,1,2,2,1,14,0,5,96,0,14,1,2020,3,1,2,3,1,1,5,3,2,100.0
10020,1,1,27,2,1,4,11,20,1,9,0,1,0,2,0,1,999,68,225,0,9,1,2,1,2,2,99,12,0,13,96,89,15,1,2020,4,16,2,42,1,1,4,5,1,100.0
10021,1,1,49,2,1,4,11,3,1,9,0,1,0,1,0,1,60,67,180,0,3,1,5,1,2,2,6,6,1,7,96,89,16,1,2020,5,6,2,12,3,2,1,4,5,50.0
10028,1,1,24,2,1,3,11,20,8,9,0,3,0,2,0,1,999,63,175,1,0,3,3,1,2,1,1,13,0,13,96,58,17,1,2020,6,11,2,42,1,1,4,1,1,33.33333333
10029,1,1,42,1,1,0,11,3,20,0,0,1,0,3,6,1,50,72,180,0,0,3,2,1,2,1,2,80,0,66,96,0,12,1,2020,1,17,2,8,1,1,1,2,10,50.0
10031,1,1,23,2,1,4,11,20,1,0,0,1,0,1,0,1,80,68,135,1,3,3,3,1,2,1,1,50,1,13,15,0,17,2,2020,2,18,2,12,1,1,1,2,10,25.0
10032,1,1,58,1,1,4,11,3,20,1,0,1,0,1,0,1,70,71,180,0,0,3,3,1,1,1,1,11,0,7,96,0,17,2,2020,2,10,2,14,1,1,2,1,10,50.0
10034,1,1,41,1,1,2,11,3,1,0,0,1,0,2,0,1,70,999,999,0,4,3,3,1,2,1,1,52,0,7,96,0,7,2,2020,6,19,2,12,1,1,1,2,1,25.0
10035,1,1,32,2,1,0,11,3,20,9,0,1,0,1,0,1,60,67,140,0,0,2,3,1,2,1,14,80,0,13,96,0,6,2,2020,5,19,2,8,18,1,1,3,1,50.0
10037,1,1,70,1,1,2,11,3,1,9,0,2,0,1,0,1,60,70,195,0,4,3,2,1,2,1,14,52,0,7,96,0,3,2,2020,2,8,2,12,18,1,1,1,1,33.33333333
10038,1,1,37,1,1,0,11,3,20,0,0,1,0,3,0,1,55,73,175,0,0,6,2,1,2,1,14,80,0,60,96,0,28,1,2020,3,18,2,8,5,1,1,3,1,50.0
10041,1,1,62,1,1,0,11,3,20,0,0,2,0,2,0,1,45,70,185,3,0,5,5,1,2,2,1,80,0,7,96,0,18,1,2020,7,23,2,8,1,1,1,3,2,33.33333333
10045,1,1,52,1,1,3,11,3,8,9,0,1,0,1,0,1,999,72,220,0,0,5,5,1,2,1,1,10,0,13,96,89,21,1,2020,3,7,2,12,1,1,1,1,1,33.33333333
10047,1,1,29,1,1,0,11,3,1,9,0,2,0,2,1,1,70,70,182,1,3,1,2,1,2,1,1,17,0,60,96,39,22,1,2020,4,16,2,12,2,2,1,1,1,33.33333333
10048,1,1,62,1,1,4,11,3,1,9,0,1,0,1,0,1,999,71,999,0,0,5,5,1,2,1,1,67,1,1,96,0,22,1,2020,4,16,2,12,2,3,1,5,1,33.33333333
10049,1,1,39,1,1,4,11,99,8,9,0,1,0,1,0,1,999,68,240,0,3,1,2,1,2,2,6,10,1,13,96,8,23,1,2020,5,17,2,12,1,1,1,2,10,28.57142857
10052,1,1,85,2,1,4,11,20,1,8,0,1,0,1,0,1,999,66,154,0,0,1,2,1,2,1,1,13,0,5,96,0,27,1,2020,2,14,2,42,1,1,4,1,10,100.0
10060,1,1,24,1,1,4,11,3,8,0,0,2,0,2,0,1,999,71,170,0,4,1,2,1,2,1,1,12,1,13,96,8,1,2,2020,7,21,2,42,3,4,4,3,1,50.0
10061,1,1,21,1,1,4,11,3,8,9,0,1,0,2,0,1,999,999,999,0,0,1,2,6,2,1,1,13,0,5,96,0,2,2,2020,1,23,2,30,1,1,4,2,1,100.0
10062,1,1,52,1,1,0,11,3,20,0,0,1,0,1,6,1,60,68,207,1,0,1,7,1,2,1,1,50,0,66,92,0,3,2,2020,2,7,2,12,3,2,1,1,1,50.0
10064,1,1,55,1,1,0,11,3,20,0,0,1,0,2,0,1,55,67,215,0,0,2,4,5,2,1,1,80,0,13,96,0,3,2,2020,2,0,2,8,3,2,1,3,1,50.0
10065,1,1,42,1,1,0,11,3,20,0,0,1,0,1,0,1,45,75,225,0,0,2,2,1,2,1,1,80,0,13,96,0,3,2,2020,2,18,2,8,3,2,1,2,1,50.0
10070,1,1,33,2,1,0,11,3,1,0,0,1,0,1,0,1,2,67,145,0,0,0,0,0,0,0,11,15,0,2,96,89,7,2,2020,6,12,2,12,4,1,1,1,1,28.57142857
10079,1,1,21,1,1,4,11,3,8,9,0,1,0,0,0,1,20,67,110,0,0,1,2,1,2,1,1,17,0,13,96,38,12,2,2020,4,19,2,12,2,3,1,3,10,50.0
10080,1,1,63,2,1,3,11,3,20,0,0,2,0,1,0,1,65,65,204,0,0,2,2,1,2,2,1,54,0,13,96,51,12,2,2020,4,19,2,12,1,1,1,2,2,33.33333333
10086,1,1,52,2,1,4,11,99,20,8,0,1,0,1,0,1,999,63,197,0,0,1,2,6,2,99,99,12,0,3,96,0,17,2,2020,2,13,2,34,1,1,4,9,99,100.0
10087,1,1,32,1,1,4,11,20,20,9,0,1,0,1,0,1,60,72,185,2,3,3,2,1,2,1,14,12,1,94,96,37,20,2,2020,5,0,2,24,1,1,3,3,10,100.0
10091,1,1,31,1,1,4,11,20,1,9,0,2,0,2,0,1,999,73,180,2,9,1,3,1,2,1,1,17,0,2,96,39,22,2,2020,7,15,2,12,2,2,1,1,1,33.33333333
10093,1,1,73,2,1,4,11,20,20,9,0,1,0,1,0,1,40,66,174,0,0,1,2,5,2,1,1,12,0,13,96,999,23,2,2020,1,11,2,42,1,1,4,1,10,100.0
10096,1,1,20,1,1,4,11,20,20,9,0,1,0,1,0,1,60,67,152,0,4,5,5,1,2,2,14,6,0,3,96,28,24,2,2020,2,16,2,12,1,1,1,1,2,33.33333333
10097,1,1,19,2,1,4,11,20,1,0,0,2,0,2,0,1,50,65,150,0,0,1,2,1,2,2,1,17,0,13,96,39,24,2,2020,2,11,2,12,2,2,1,1,2,66.66666667
10100,1,1,36,1,1,4,11,3,1,9,0,1,0,1,0,1,999,71,140,4,0,5,5,1,2,1,1,13,0,60,96,8,28,2,2020,6,16,2,32,1,1,4,1,1,100.0
10102,1,1,44,1,1,4,11,20,20,9,0,1,0,1,0,1,70,76,245,0,4,3,2,1,2,1,14,6,1,7,96,0,1,3,2020,1,0,2,1,1,1,4,2,1,100.0
10103,1,1,999,9,1,9,11,99,99,9,0,99,1,9,99,1,999,999,999,99,9,2,5,1,2,99,1,80,0,999,96,999,9,2,2020,1,9,2,8,1,1,1,1,99,50.0
10104,1,1,26,1,1,0,11,3,20,0,0,3,0,1,0,1,65,68,150,0,0,3,4,1,2,1,1,80,0,119,96,0,27,3,2020,6,19,2,8,1,1,1,3,1,25.0
10106,1,1,27,1,1,1,11,3,1,9,0,1,0,2,0,1,70,999,999,0,0,3,2,1,2,1,1,54,0,2,96,50,15,3,2020,1,6,2,12,1,1,1,2,1,20.0
10108,1,1,52,2,9,3,19,20,20,9,0,2,0,9,0,1,999,999,999,99,9,3,3,1,2,1,1,13,0,7,96,0,12,3,2020,5,19,2,25,1,1,4,3,1,50.0
10109,1,1,46,1,1,4,11,99,1,9,0,1,0,1,0,1,999,72,220,1,0,3,2,1,2,1,1,54,1,7,96,50,11,3,2020,4,23,2,12,1,1,1,2,1,50.0
10110,1,1,29,1,1,0,11,3,8,0,0,1,0,2,0,1,999,69,180,2,3,3,3,1,2,1,1,51,0,13,96,8,9,3,2020,2,14,2,12,1,1,1,1,1,50.0
10111,1,1,27,1,1,3,11,20,8,0,0,1,0,1,0,1,120,68,230,1,2,3,3,1,2,1,14,6,0,3,96,0,9,3,2020,2,1,2,12,1,1,1,3,1,33.33333333
10114,1,1,28,1,1,4,11,20,20,9,0,1,0,0,0,1,999,71,280,0,3,1,2,5,2,1,14,10,0,94,96,28,16,2,2020,1,12,2,12,1,1,1,1,10,50.0
10115,1,1,37,1,1,0,11,3,20,0,0,1,0,1,0,1,35,70,180,2,0,5,5,1,2,2,1,80,0,13,96,0,18,2,2020,3,20,2,8,1,1,1,3,2,50.0
10118,1,1,38,1,1,2,11,3,8,9,0,1,0,1,0,1,999,69,160,0,0,1,2,1,2,2,1,62,1,13,96,0,24,2,2020,2,22,2,12,1,1,1,3,10,50.0
10120,1,1,45,1,1,0,11,3,20,0,0,1,0,1,0,1,999,67,190,3,0,2,3,1,2,1,1,80,0,13,96,0,28,2,2020,6,22,2,8,3,3,1,3,1,50.0
10122,1,1,27,1,1,2,11,3,8,9,0,1,0,1,0,1,999,73,250,0,9,1,5,1,2,1,99,19,0,13,96,74,1,3,2020,1,1,2,12,2,2,1,3,1,25.0
10123,1,1,43,1,1,0,11,99,20,0,0,2,0,1,0,1,999,64,190,3,9,2,2,1,2,2,1,83,0,60,96,0,2,3,2020,2,22,2,9,1,1,1,3,10,33.33333333
10128,1,1,32,1,1,4,11,3,1,9,0,1,0,1,0,1,999,68,215,4,3,1,2,6,2,2,14,6,1,3,96,89,3,3,2020,3,21,2,12,1,1,1,3,10,66.66666667
10130,1,1,35,1,1,4,11,20,20,9,0,1,0,1,0,1,45,71,250,3,0,1,3,1,2,2,1,10,0,60,96,89,3,3,2020,3,15,2,12,1,1,1,1,10,50.0
10133,1,1,60,1,1,4,11,99,20,0,0,1,0,1,0,1,15,69,225,0,0,1,4,6,2,2,12,53,0,13,96,48,3,3,2020,3,5,2,12,1,1,1,3,2,50.0
10137,1,1,17,1,1,4,11,20,1,8,0,1,0,2,0,1,45,66,130,0,0,5,5,1,2,1,1,13,0,60,96,0,6,3,2020,6,12,2,52,1,1,4,1,1,100.0
10139,1,1,63,1,1,4,11,3,99,9,0,1,0,3,2,1,999,71,276,0,9,2,2,6,2,1,1,12,0,11,96,999,6,3,2020,6,12,2,34,1,1,3,1,1,100.0
10140,1,1,81,2,1,4,11,3,1,0,0,1,0,1,0,1,5,67,142,0,0,1,3,1,2,1,11,15,0,13,96,38,6,3,2020,6,17,2,12,2,2,1,5,1,33.33333333
10150,1,1,39,2,1,4,11,3,20,8,0,1,0,1,0,1,70,70,180,0,0,2,2,1,2,1,1,13,0,7,92,58,12,3,2020,5,18,2,1,1,1,3,1,1,100.0
10153,1,1,41,1,1,4,11,20,20,0,0,1,0,2,0,1,50,72,170,0,0,1,2,5,2,1,1,12,1,85,96,8,15,3,2020,1,17,2,33,1,1,4,1,1,100.0
10154,1,1,57,1,1,4,11,20,1,9,0,1,0,2,0,1,999,74,190,0,3,1,2,6,2,1,1,13,0,13,96,89,17,3,2020,3,23,2,38,1,1,4,2,10,100.0
10156,1,1,31,1,1,0,11,3,20,9,0,1,1,2,0,1,999,74,350,0,9,1,2,6,2,1,1,10,0,60,96,28,20,3,2020,6,23,2,8,1,1,1,2,1,50.0
10165,1,1,46,1,1,3,11,3,1,9,0,1,0,1,0,1,999,999,999,0,0,3,4,1,2,1,1,54,1,60,96,51,23,2,2020,1,6,2,12,1,1,1,1,1,33.33333333
10166,1,1,53,1,1,4,11,3,8,9,0,1,0,4,0,1,999,999,999,0,0,3,2,1,2,1,1,62,0,13,96,50,15,4,2020,4,23,2,12,1,1,1,2,1,50.0
10168,1,1,32,1,1,3,11,3,1,9,0,1,0,2,0,1,93,73,175,2,3,3,2,1,1,2,1,13,0,60,96,8,23,4,2020,5,11,2,14,1,1,2,1,1,66.66666667
10169,1,1,21,2,1,4,11,3,8,0,0,1,0,1,0,1,70,68,180,0,0,2,2,5,2,1,1,50,0,13,92,89,24,4,2020,6,6,2,12,1,1,1,1,1,33.33333333
10172,1,1,999,9,1,0,11,99,99,9,0,99,1,9,0,1,999,999,999,99,9,1,2,1,2,1,1,80,0,13,96,999,22,2,2020,7,5,2,8,1,1,1,3,1,50.0
10173,1,1,999,9,1,0,11,99,99,9,0,99,1,9,99,1,998,999,999,99,9,5,5,1,2,1,1,80,0,999,96,999,16,3,2020,2,2,2,8,1,1,1,2,10,50.0
10174,1,1,71,2,1,0,11,3,20,0,0,1,0,1,0,1,999,61,112,0,0,2,2,1,2,1,1,80,0,13,96,89,23,3,2020,2,20,2,8,1,1,1,3,1,33.33333333
10180,1,1,51,1,1,4,11,20,1,9,0,2,0,2,0,1,999,74,184,0,0,1,2,3,2,1,1,13,0,60,96,0,1,4,2020,4,12,2,33,1,1,4,1,1,50.0
10181,1,1,28,1,1,0,11,99,20,9,0,1,0,3,1,1,999,70,175,1,3,2,5,1,2,1,1,50,0,60,96,37,1,4,2020,4,10,2,12,3,2,1,1,1,20.0
10183,1,1,52,1,1,4,11,3,1,9,0,1,0,2,0,1,999,70,200,0,0,5,5,1,2,1,1,54,0,60,96,89,3,4,2020,6,4,2,12,1,1,1,3,1,50.0
10186,1,1,44,1,1,0,11,3,20,9,0,1,0,2,0,1,999,69,200,1,0,1,2,6,2,1,1,83,0,13,96,0,5,4,2020,1,9,2,9,1,1,1,1,1,50.0
10195,1,1,21,2,1,0,11,3,20,0,0,2,0,2,0,1,999,65,175,0,9,1,2,1,2,1,1,80,0,7,96,999,10,4,2020,6,18,2,8,3,3,1,1,1,20.0
10196,1,1,36,1,1,4,11,3,1,0,0,1,0,1,0,1,70,74,225,0,3,1,2,1,2,1,14,6,0,3,96,0,12,4,2020,1,20,2,59,1,1,4,2,1,100.0
10197,1,1,33,2,1,2,11,3,20,0,0,5,0,1,0,1,20,66,280,1,0,2,4,1,2,1,11,15,0,7,96,38,14,4,2020,3,14,2,12,2,2,1,1,1,14.28571429
10200,1,1,61,2,1,4,11,20,1,9,0,1,0,1,0,1,70,68,125,0,3,2,2,1,2,1,14,10,1,60,96,8,16,4,2020,5,10,2,12,1,1,1,1,10,50.0
10201,1,1,999,9,1,9,11,99,99,9,0,99,1,9,99,1,999,999,999,99,0,2,2,1,2,1,11,15,0,999,96,38,16,4,2020,5,19,2,12,2,3,1,3,1,50.0
10203,1,1,41,1,1,4,11,20,1,9,0,1,0,1,0,1,999,71,200,0,3,2,4,5,2,1,11,13,0,60,96,0,18,4,2020,7,20,2,30,3,2,8,3,10,100.0
10207,1,1,17,1,1,2,11,3,8,9,0,2,0,2,0,1,999,73,158,0,3,1,4,1,2,1,1,17,0,3,96,0,20,4,2020,2,21,2,12,2,2,1,2,1,20.0
10208,1,1,31,1,1,4,11,20,1,0,0,1,0,1,0,1,70,999,999,0,3,1,2,1,2,1,14,13,0,5,96,0,20,4,2020,2,20,2,34,1,1,4,2,1,100.0
10209,1,1,41,1,1,0,11,99,20,9,0,1,1,1,0,1,999,76,280,0,3,1,2,1,2,1,1,83,1,60,96,89,22,4,2020,4,18,2,9,1,1,1,1,1,50.0
10210,1,1,28,1,1,4,11,3,20,9,0,1,0,3,1,1,65,68,150,0,0,2,2,1,2,2,1,12,0,11,96,58,23,4,2020,5,6,2,1,1,1,1,1,2,100.0
10211,1,1,68,2,1,4,11,3,2,0,0,1,0,1,0,1,10,67,200,2,0,2,4,1,2,1,11,15,0,7,96,38,24,4,2020,6,11,2,12,2,2,1,1,1,20.0
10214,1,1,26,1,1,4,11,3,8,9,0,1,0,1,0,1,80,999,999,0,3,1,3,1,2,1,1,6,0,13,96,39,25,4,2020,7,18,2,42,3,3,4,1,1,100.0
10216,1,1,26,1,1,4,11,20,8,0,0,1,0,1,0,1,999,72,185,0,3,1,2,1,2,1,14,13,0,7,96,0,25,4,2020,7,21,2,32,1,1,4,2,1,100.0
10223,1,1,36,1,1,4,11,99,8,0,0,1,0,2,0,1,128,71,220,0,0,1,2,1,2,1,6,13,1,3,96,0,1,5,2020,6,19,2,30,1,1,4,1,1,100.0
10225,1,1,20,1,1,4,11,3,1,9,0,1,0,1,0,1,999,71,210,2,9,1,2,6,2,1,1,12,0,60,96,999,2,5,2020,7,7,2,42,1,1,4,4,1,100.0
10228,1,1,51,2,1,3,11,3,1,0,0,2,0,2,0,1,55,64,145,0,0,5,5,1,2,1,14,10,0,7,96,0,3,5,2020,1,16,2,12,1,1,1,1,1,25.0
10232,1,1,44,1,1,4,11,20,20,9,0,1,0,2,0,1,999,68,180,0,0,1,2,6,2,1,14,6,0,98,96,37,5,5,2020,3,20,2,12,1,1,1,2,1,20.0
10233,1,1,43,2,1,0,11,99,20,9,0,2,0,1,0,1,999,67,140,2,0,1,5,1,2,1,11,15,1,7,96,89,5,5,2020,3,22,2,12,2,2,1,3,10,33.33333333
10235,1,1,55,1,1,4,11,3,20,8,0,1,0,1,0,1,25,68,200,0,0,1,2,1,2,1,10,13,0,60,96,48,28,6,2020,1,13,2,32,8,1,4,1,1,100.0
10236,1,1,44,1,1,2,11,20,8,9,0,1,0,2,0,1,55,73,250,0,0,2,2,6,2,1,1,50,1,60,96,0,23,2,2020,1,21,2,12,2,3,1,2,1,33.33333333
10238,1,1,65,1,1,0,11,3,20,0,0,1,0,1,0,1,999,72,190,0,0,5,5,1,2,1,1,80,0,13,96,0,2,2,2020,1,17,2,8,1,1,1,1,1,50.0
10239,1,1,19,2,1,0,11,3,20,0,0,1,0,2,0,1,45,63,124,2,0,1,2,6,2,1,1,80,0,7,96,0,26,1,2020,1,18,2,8,1,1,1,2,10,33.33333333
10240,1,1,85,2,1,4,11,3,1,0,0,1,0,1,0,1,999,65,140,0,0,1,2,6,2,1,11,15,0,2,99,38,26,1,2020,1,12,2,12,2,3,1,1,10,14.28571429
10242,1,1,54,1,1,0,11,3,20,0,0,1,0,3,6,1,65,75,280,0,0,2,2,1,2,2,1,80,0,66,96,0,26,6,2020,6,5,2,8,1,1,1,4,10,50.0
10243,1,1,18,1,1,0,11,3,20,0,0,2,0,2,0,1,75,68,139,0,0,3,5,5,2,1,1,80,0,13,96,0,25,6,2020,5,1,2,8,1,1,1,3,10,33.33333333
10244,1,1,22,1,1,4,11,20,8,0,0,1,0,1,0,1,95,75,240,3,3,2,2,6,2,1,14,13,0,60,99,0,14,6,2020,1,2,2,39,1,1,4,3,1,100.0
10245,1,1,25,2,1,4,11,3,8,9,0,1,0,2,0,1,20,999,999,0,0,2,2,5,2,1,2,53,0,3,99,45,11,6,2020,5,21,2,12,18,1,1,2,1,25.0
10246,1,1,24,1,1,1,11,20,8,9,0,2,0,1,0,1,78,71,160,0,0,2,3,5,2,1,14,13,1,60,96,0,7,6,2020,1,4,2,30,1,1,4,2,1,50.0
10248,1,1,63,1,1,0,11,3,20,0,0,3,0,1,0,1,70,72,200,0,0,3,2,6,2,1,1,80,0,60,96,0,4,6,2020,5,19,2,8,1,1,1,5,1,25.0
10250,1,1,43,1,1,4,11,20,8,0,0,1,0,1,0,1,80,74,400,1,0,3,2,1,2,1,1,13,0,13,96,89,2,6,2020,3,15,2,38,1,1,4,1,1,100.0
10252,1,1,57,1,1,2,11,3,1,1,0,1,0,1,0,1,65,70,180,0,0,3,2,1,2,1,1,54,0,7,96,50,29,5,2020,6,1,2,12,1,1,1,2,1,50.0
10255,1,1,71,1,1,4,11,99,20,0,0,1,0,1,0,1,999,74,200,0,0,5,5,1,2,1,1,10,0,60,96,0,25,4,2020,7,8,2,12,1,1,1,1,1,50.0
10259,1,1,20,1,1,4,11,20,1,0,0,1,0,2,0,1,70,67,170,1,3,1,2,1,2,1,1,12,1,60,96,0,10,5,2020,1,1,2,42,1,1,5,2,1,100.0
10261,1,1,24,2,1,0,11,99,20,9,0,1,1,1,0,1,37,62,110,1,0,1,2,1,2,1,1,80,0,13,96,0,13,5,2020,4,21,2,8,1,1,1,3,10,33.33333333
10268,1,1,41,1,1,2,11,20,8,9,0,3,0,1,0,1,80,74,230,1,0,1,3,1,1,1,1,17,0,5,96,39,16,5,2020,7,12,2,12,2,2,1,1,1,25.0
10269,1,1,31,1,1,0,11,20,20,0,0,1,0,1,0,1,999,76,165,0,0,3,3,1,2,1,1,80,0,6,96,0,16,5,2020,7,0,2,8,3,3,1,3,1,50.0
10270,1,1,36,1,1,0,11,20,20,0,0,1,0,1,0,1,40,67,160,1,0,1,2,1,2,2,1,80,1,60,96,0,17,5,2020,1,20,2,8,1,1,1,2,2,50.0
10279,1,1,22,1,1,0,11,3,20,0,0,1,0,2,0,1,15,72,165,0,0,1,2,1,1,1,10,16,0,60,96,38,22,5,2020,6,17,2,12,2,3,1,1,1,25.0
10284,1,1,30,2,1,4,11,20,20,9,0,1,0,1,0,1,45,67,210,0,3,1,2,1,2,1,1,13,1,13,96,0,24,5,2020,1,3,2,43,1,1,4,3,10,100.0
10288,1,1,35,1,1,4,11,20,20,9,0,1,0,0,0,1,25,71,210,0,0,1,2,1,2,1,1,17,0,69,96,39,26,5,2020,3,13,2,12,2,3,1,1,10,50.0
10289,1,1,36,1,1,4,11,20,20,0,0,2,0,1,0,1,55,69,175,0,3,1,2,1,2,1,1,9,0,60,96,0,27,5,2020,4,14,2,1,1,1,4,1,10,50.0
10291,1,1,66,1,1,4,11,3,1,9,0,1,0,2,0,1,999,71,275,0,0,1,2,5,2,2,14,13,0,7,96,0,28,5,2020,5,7,2,42,1,1,4,1,2,100.0
10296,1,1,29,1,1,4,11,20,1,9,0,2,0,2,0,1,999,69,220,0,3,1,2,1,2,2,14,6,0,5,96,8,28,5,2020,5,10,2,12,1,1,1,1,2,33.33333333
10299,1,1,40,1,1,4,11,99,3,9,0,2,0,2,0,1,999,75,185,0,0,1,2,1,2,1,14,12,0,13,96,0,30,5,2020,7,5,2,42,1,1,4,1,1,50.0
10300,1,1,20,1,1,1,11,20,8,9,0,6,0,2,0,1,10,76,150,0,0,2,2,5,2,1,12,21,1,7,96,73,30,5,2020,7,18,2,12,2,3,1,1,1,14.28571429
10305,1,1,36,2,1,4,11,99,8,8,0,1,0,2,0,1,999,64,180,0,9,2,2,1,2,1,99,19,0,7,96,999,1,6,2020,2,18,2,12,1,1,1,1,10,33.33333333
10306,1,1,20,1,1,4,11,20,20,0,0,1,0,2,0,1,999,70,150,2,3,2,4,1,2,1,1,66,0,80,96,0,1,6,2020,2,11,2,12,2,3,1,1,1,33.33333333
10307,1,1,59,1,1,4,11,20,20,9,0,1,0,0,0,1,999,77,207,0,0,1,2,6,2,1,1,12,0,5,96,58,3,6,2020,4,18,2,34,1,1,4,1,10,100.0
10308,1,1,19,2,1,0,11,3,20,0,0,1,0,1,0,1,999,65,250,0,0,2,3,1,2,1,1,80,0,8,96,0,4,6,2020,5,23,2,8,3,2,1,3,1,50.0
10309,1,1,73,1,1,2,11,3,1,0,0,1,0,1,0,1,65,76,190,0,0,2,2,1,2,1,1,80,0,5,96,0,5,6,2020,6,23,2,8,1,1,1,2,10,50.0
10310,1,1,44,1,1,0,11,3,20,0,0,1,0,3,6,2,45,76,280,1,0,2,3,6,2,1,1,80,0,66,96,89,5,6,2020,6,23,2,8,1,1,1,2,1,50.0
10311,1,1,23,2,1,3,11,3,8,0,0,2,0,1,0,1,50,62,106,0,4,1,2,1,2,2,1,6,0,3,96,87,5,6,2020,6,17,2,12,1,1,1,1,2,25.0
10312,1,1,65,2,1,4,11,99,1,0,0,1,0,1,0,1,999,69,170,0,0,1,3,1,2,1,1,17,0,60,96,89,6,6,2020,7,21,2,12,2,2,1,3,1,33.33333333
10313,1,1,37,2,1,3,11,3,8,1,0,1,0,1,0,1,73,64,210,1,0,2,3,5,2,1,1,17,1,7,96,39,7,6,2020,1,18,2,12,2,2,1,1,1,33.33333333
10314,1,1,31,1,1,0,11,3,20,0,0,3,0,3,1,1,5,74,192,0,0,1,2,1,2,1,1,17,0,11,96,38,8,6,2020,2,7,2,12,2,2,1,1,10,20.0
10316,1,1,32,2,1,4,11,20,1,0,0,2,0,1,0,1,999,68,160,0,0,2,2,1,2,2,1,9,1,7,96,89,9,6,2020,3,12,2,12,1,1,1,1,2,20.0
10319,1,1,55,2,1,3,11,3,20,0,0,1,0,1,0,1,14,64,172,0,0,1,2,1,2,1,11,15,0,7,96,38,9,6,2020,3,17,2,12,2,3,1,1,1,50.0
10322,1,1,19,2,1,0,11,3,20,0,0,2,0,3,0,1,999,69,160,0,0,1,2,5,2,1,1,3,0,62,96,0,10,6,2020,4,17,2,54,1,1,1,1,1,25.0
10324,1,1,27,1,1,4,11,20,1,8,0,2,0,1,0,1,999,65,180,1,9,2,2,1,2,1,1,13,0,5,96,8,11,6,2020,5,11,2,30,1,1,4,1,1,33.33333333
10326,1,1,68,1,1,2,11,20,20,9,0,2,0,1,0,1,999,66,200,0,0,1,2,1,2,1,14,13,1,7,96,58,12,6,2020,6,21,2,1,1,1,4,3,1,50.0
10328,1,1,50,1,1,4,11,99,20,9,0,1,0,2,0,1,999,69,999,0,9,1,2,1,2,1,1,13,1,7,96,999,13,6,2020,7,0,2,42,1,1,4,3,1,100.0
10330,1,1,33,1,1,3,11,20,1,9,0,2,0,2,0,1,65,67,205,0,4,1,2,6,2,2,1,13,1,60,96,58,17,6,2020,4,13,2,35,1,1,4,1,2,50.0
10331,1,1,19,1,1,4,11,20,8,9,0,2,0,1,0,1,100,64,132,0,3,1,2,6,2,1,14,6,0,13,12,37,18,6,2020,5,1,2,35,1,1,4,2,1,50.0
10332,1,1,60,1,1,4,11,20,20,8,0,1,0,2,0,1,999,71,225,1,9,2,5,1,2,1,1,50,0,12,96,0,18,6,2020,5,14,2,12,3,3,1,1,1,50.0
10334,1,1,28,2,1,0,11,3,20,0,0,1,0,0,0,1,999,62,205,2,0,5,7,1,2,1,1,80,0,13,96,0,18,6,2020,5,20,2,8,2,3,1,3,1,50.0
10336,1,1,29,1,1,4,11,20,20,9,0,1,0,1,0,1,40,76,999,0,0,5,5,1,2,1,6,11,0,82,96,8,20,6,2020,7,9,2,12,1,1,1,1,1,33.33333333
10339,1,1,22,2,1,3,11,20,1,8,0,2,0,2,0,1,66,67,187,1,0,1,4,1,2,1,1,13,0,7,3,0,21,6,2020,1,13,2,33,1,1,4,1,1,50.0
10341,1,1,19,1,1,4,11,20,8,9,0,2,0,2,0,1,999,69,120,0,3,2,2,1,2,1,1,13,0,13,96,8,22,6,2020,2,2,2,32,1,1,4,3,10,100.0
